iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_train_en_params_dist,task_train_tail_params_dist,task_test_loss_pre_optim,task_test_loss_post_optim,task_test_en_params_dist,task_test_tail_params_dist
1430,10.864375,3.3973272,0.04879486,875.84454,9.305835,3.1959717,0.048760153,877.28534
1440,10.578857,2.9318461,0.04841823,890.3534,9.78351,3.113631,0.048376374,891.8133
1450,11.36581,3.132737,0.0480009,905.0202,9.01957,3.2168162,0.04796195,906.49347
1460,11.482322,3.3175197,0.04759241,919.83527,9.728858,3.2180688,0.04755513,921.31946
1470,9.628251,3.3245091,0.04722046,934.7957,9.785783,3.3063405,0.047186576,936.3001
1480,9.732534,3.0741687,0.04683978,949.9163,9.066613,3.723553,0.04680227,951.4396
1490,11.021461,3.0867565,0.046500385,965.18713,10.133974,2.9885705,0.04646345,966.71924
1500,10.585259,3.456307,0.04609581,980.61096,11.634949,3.4023798,0.046058428,982.16174
1510,10.590976,3.3547826,0.04575072,996.18634,10.685069,3.2155952,0.04571188,997.75226
1520,10.9014225,3.1532261,0.045442495,1011.91833,11.667942,3.622714,0.045408227,1013.5023
1530,11.350976,3.2837179,0.04514092,1027.8011,10.95877,3.2754655,0.045094166,1029.3978
1540,11.159663,3.6583824,0.04470781,1043.841,9.68683,3.4961846,0.04467787,1045.4484
1550,11.91673,3.0995116,0.044367515,1060.0237,11.493693,3.2514381,0.044333756,1061.6516
1560,11.899697,3.1556563,0.044027984,1076.3715,11.58454,3.185677,0.04399433,1078.0135
1570,9.9325075,2.8206973,0.043703105,1092.8627,9.601805,3.1061635,0.043667614,1094.5245
1580,9.519792,3.039233,0.04336728,1109.5137,10.202249,3.1640763,0.04333505,1111.1857
1590,10.840509,2.8548584,0.043048885,1126.3253,9.947041,2.9210944,0.04301308,1128.0144
1600,10.89174,3.0927637,0.042734437,1143.2843,9.190824,3.2352173,0.042703517,1144.9895
1610,11.762312,3.4873097,0.042430677,1160.4071,8.216223,3.6305466,0.042405687,1162.1215
1620,11.680978,3.384493,0.04212946,1177.6747,8.924013,2.7466002,0.042098083,1179.4098
1630,9.196403,3.1577759,0.041808937,1195.0922,10.36943,3.5921376,0.041772388,1196.8431
1640,10.138001,3.035,0.041427165,1212.686,9.157365,2.9031427,0.04138744,1214.4567
1650,9.628589,3.4134753,0.04111961,1230.4337,9.145472,3.2745254,0.04108926,1232.2164
1660,10.3050785,3.3955336,0.040825434,1248.3297,10.495656,3.238488,0.040795278,1250.1304
1670,9.957566,2.9982162,0.040502675,1266.4016,10.78984,3.1880074,0.040473986,1268.2135
1680,10.624925,3.200988,0.040233012,1284.6079,9.2285595,3.376489,0.04019866,1286.4382
1690,9.494761,3.3928666,0.039961375,1302.9739,10.202238,3.0385509,0.039932437,1304.8212
1700,10.213688,3.5645874,0.039681215,1321.4927,7.9624724,3.34218,0.039653808,1323.3508
1710,8.759961,3.166279,0.039354507,1340.1931,8.292481,3.5933707,0.039326373,1342.0693
1720,9.858791,3.4013696,0.039060574,1359.0405,9.993745,3.6595209,0.03902823,1360.9364
1730,9.651811,2.9147742,0.03876566,1378.052,9.718606,3.539234,0.038735725,1379.9626
1740,9.12807,3.370179,0.03849307,1397.2186,11.546665,3.4080882,0.038462125,1399.1471
1750,11.012063,3.6322694,0.038199775,1416.5491,9.541211,3.4926405,0.03817526,1418.4877
1760,10.040727,3.492359,0.037950523,1436.032,10.670455,3.3526056,0.037921194,1437.9908
1770,9.009447,2.7935178,0.037674155,1455.6794,9.663,3.3675146,0.03764545,1457.6521
1780,9.036382,3.091804,0.03738778,1475.4869,9.941907,3.388089,0.037359558,1477.475
1790,10.649007,3.5311112,0.037127234,1495.4504,9.472322,3.2836087,0.037099678,1497.4558
1800,11.859433,2.907962,0.036850017,1515.5826,10.56005,3.6495564,0.036831666,1517.5967
1810,9.287531,2.9517984,0.036605358,1535.8545,10.536107,3.395397,0.036579035,1537.8917
1820,11.465514,3.5009615,0.03632477,1556.2966,10.01286,3.144498,0.03629644,1558.3499
1830,9.370561,3.6648316,0.036056,1576.9016,10.531756,3.1013567,0.03603282,1578.9701
1840,11.240521,3.2143083,0.035827007,1597.6711,10.344218,3.2728264,0.035804756,1599.7551
1850,9.936377,3.3765123,0.035613023,1618.5936,9.108858,3.1503403,0.035589,1620.696
1860,11.052747,3.0552342,0.035328217,1639.6936,9.677395,3.4737768,0.03530662,1641.809
1870,11.483051,3.1169581,0.035089936,1660.9443,10.140995,3.2771187,0.03507236,1663.073
1880,9.611872,3.1097693,0.034943048,1682.3562,8.749778,3.2030458,0.03492538,1684.5078
1890,12.4443035,3.3807974,0.034822293,1703.9353,9.251655,3.026053,0.034809016,1706.0977
1900,11.35737,3.1517966,0.03463022,1725.6696,9.850413,3.3371246,0.03461512,1727.8492
1910,10.702145,3.3241043,0.03446067,1747.5632,9.528571,3.305371,0.034446526,1749.7605
1920,10.638914,2.933627,0.034290586,1769.6201,9.774426,2.9529352,0.034253377,1771.8326
1930,10.658472,3.1787124,0.03409868,1791.8079,11.054866,3.3012402,0.034095716,1794.0377
1940,10.276514,3.2735815,0.0338566,1814.1527,8.702111,3.4272583,0.033858,1816.399
1950,9.739818,3.1746147,0.03353743,1836.5879,9.736149,3.2322571,0.033487175,1838.8422
1960,9.112183,3.2563944,0.0331487,1859.1887,9.710671,3.52153,0.03311163,1861.4543
1970,8.623037,2.8972876,0.033245366,1881.9576,8.112502,3.2472453,0.033178844,1884.2412
1980,6.9176993,15.094531,0.032564286,1904.18,4.706896,3.2965398,0.032541037,1906.0691
1990,3.3288019,3.0757756,0.03224077,1923.097,3.9986434,3.9593565,0.032200016,1924.8998
2000,3.1857932,4.779609,0.032106064,1941.1908,3.2863069,4.7047677,0.0320896,1943.0059
2010,3.2979596,3.8317614,0.03193567,1959.3756,3.3395605,3.9488657,0.031922296,1961.1926
2020,2.9628596,4.4034057,0.031762652,1977.643,3.3498747,3.9872024,0.0317433,1979.4768
2030,3.096095,3.835936,0.03156071,1996.0188,3.4240441,3.6509202,0.031540457,1997.8596
2040,3.2698815,4.0114417,0.031345453,2014.5061,3.4481864,3.7452226,0.031323895,2016.3623
2050,3.124479,4.078647,0.031135876,2033.1042,2.9787123,3.4498246,0.031115193,2034.9691
2060,3.7892194,3.849644,0.030923579,2051.8267,3.2708328,3.6331441,0.03090187,2053.7039
2070,3.2453415,3.6580331,0.035206743,2070.6587,3.3650675,3.8927093,0.035894096,2072.547
2080,3.0766242,3.2464683,0.047692403,2089.6187,3.045781,3.8381798,0.049278326,2091.5232
2090,3.17745,3.3900666,0.054781973,2108.702,3.2952933,3.5468297,0.054240398,2110.6147
2100,3.307513,2.996117,0.048680842,2127.896,3.4314692,3.0444205,0.048418086,2129.8247
2110,3.5488572,3.748567,0.04759909,2147.2236,3.4516134,3.2189782,0.047495402,2149.1636
2120,3.3145232,3.5754461,0.045492817,2166.6716,3.3972158,4.1007915,0.045155574,2168.6226
2130,3.4541926,3.672625,0.042447608,2186.2456,3.2699764,3.4077845,0.04220421,2188.2065
2140,3.2283182,3.8799841,0.039520506,2205.942,3.229293,4.130743,0.03927295,2207.9148
2150,3.5063212,3.7531447,0.038640894,2225.7642,3.9405417,3.4519925,0.038737837,2227.7546
2160,2.8743906,3.8296912,0.039267793,2245.7173,2.97689,3.5577857,0.039300688,2247.7212
2170,3.7031012,3.6718638,0.038710482,2265.7996,3.6890132,3.888085,0.038654197,2267.817
2180,3.0622635,3.9788804,0.03866307,2286.0042,3.7895975,3.8773196,0.03878591,2288.0332
