iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_params_dist
3000,0.05,0.05,2.6333091,0.05,0.05,2.6333091
3010,0.05,0.05,2.6333106,0.05,0.05,2.6333106
3020,0.05,0.05,2.6333115,0.05,0.05,2.6333115
3030,0.05,0.05,2.6333117,0.05,0.05,2.6333117
3040,0.05,0.05,2.6333113,0.05,0.05,2.6333113
3050,0.05,0.05,2.6333113,0.05,0.05,2.6333113
3060,0.05,0.05,2.6333108,0.05,0.05,2.6333108
3070,0.05,0.05,2.633312,0.05,0.05,2.6333125
3080,0.05,0.05,2.6333137,0.05,0.05,2.6333137
3090,0.05,0.05,2.6333127,0.05,0.05,2.6333125
3100,0.05,0.05,2.6333098,0.05,0.05,2.6333094
3110,0.05,0.05,2.633307,0.05,0.05,2.6333065
3120,0.05,0.05,2.633307,0.05,0.05,2.633307
3130,0.05,0.05,2.6333075,0.05,0.05,2.6333075
3140,0.05,0.05,2.6333086,0.05,0.05,2.6333086
3150,0.05,0.05,2.6333103,0.05,0.05,2.6333103
3160,0.05,0.05,2.6333098,0.05,0.05,2.6333098
3170,0.05,0.05,2.6333082,0.05,0.05,2.6333077
3180,0.05,0.05,2.633305,0.05,0.05,2.633305
3190,0.05,0.05,2.6333,0.05,0.05,2.6332998
3200,0.05,0.05,2.6332984,0.05,0.05,2.633298
3210,0.05,0.05,2.6332977,0.05,0.05,2.6332974
3220,0.05,0.05,2.6332965,0.05,0.05,2.6332965
3230,0.05,0.05,2.633296,0.05,0.05,2.6332965
3240,0.05,0.05,2.6332972,0.05,0.05,2.6332972
3250,0.05,0.05,2.6332953,0.05,0.05,2.633295
3260,0.05,0.05,2.6332996,0.05,0.05,2.6332996
3270,0.05,0.05,2.633302,0.05,0.05,2.633302
3280,0.05,0.05,2.6333,0.05,0.05,2.6332998
3290,0.05,0.05,2.6332989,0.05,0.05,2.6332989
3300,0.05,0.05,2.6333032,0.05,0.05,2.633304
3310,0.05,0.05,2.6333086,0.05,0.05,2.6333094
3320,0.05,0.05,2.6333113,0.052,0.05,2.6333113
3330,0.05,0.05,2.633312,0.05,0.05,2.633312
3340,0.05,0.05,2.6333125,0.05,0.05,2.6333125
3350,0.05,0.05,2.6333117,0.05,0.05,2.6333117
3360,0.05,0.05,2.6333117,0.05,0.05,2.6333117
3370,0.05,0.05,2.6333184,0.05,0.05,2.6333191
3380,0.05,0.05,2.6333222,0.05,0.05,2.6333222
3390,0.05,0.05,2.633323,0.05,0.05,2.633323
3400,0.05,0.05,2.6333213,0.05,0.05,2.6333208
3410,0.05,0.05,2.6333203,0.05,0.05,2.6333203
3420,0.05,0.05,2.63332,0.05,0.05,2.63332
3430,0.05,0.05,2.63332,0.05,0.05,2.6333196
3440,0.05,0.05,2.6333194,0.05,0.05,2.6333194
3450,0.05,0.05,2.6333244,0.05,0.05,2.6333258
3460,0.05,0.05,2.6333344,0.05,0.05,2.6333349
3470,0.05,0.05,2.633338,0.05,0.05,2.633338
3480,0.05,0.05,2.633337,0.05,0.052,2.6333368
3490,0.05,0.05,2.6333354,0.05,0.05,2.6333349
3500,0.05,0.05,2.6333349,0.05,0.05,2.6333344
3510,0.05,0.05,2.6333294,0.05,0.05,2.633329
3520,0.05,0.05,2.633323,0.05,0.05,2.6333222
3530,0.05,0.05,2.6333184,0.05,0.05,2.633318
3540,0.05,0.05,2.6333125,0.05,0.05,2.6333115
3550,0.05,0.05,2.633305,0.05,0.05,2.6333044
3560,0.05,0.05,2.633302,0.05,0.05,2.6333017
3570,0.05,0.05,2.6333027,0.05,0.05,2.633303
3580,0.05,0.05,2.6333032,0.05,0.05,2.6333032
3590,0.05,0.05,2.6333032,0.05,0.05,2.6333032
3600,0.05,0.05,2.6333048,0.05,0.05,2.633305
3610,0.05,0.05,2.6333063,0.05,0.05,2.6333063
3620,0.05,0.05,2.6333063,0.05,0.05,2.6333065
3630,0.05,0.05,2.633307,0.05,0.05,2.633307
3640,0.05,0.05,2.6332996,0.05,0.05,2.6332989
3650,0.05,0.05,2.633296,0.05,0.05,2.633296
3660,0.05,0.05,2.6332934,0.05,0.05,2.6332924
3670,0.05,0.05,2.6332867,0.05,0.05,2.6332867
3680,0.05,0.05,2.6332846,0.05,0.05,2.6332846
3690,0.05,0.05,2.6332836,0.05,0.05,2.6332836
3700,0.05,0.05,2.6332808,0.05,0.05,2.6332808
3710,0.05,0.05,2.6332788,0.05,0.05,2.6332786
3720,0.05,0.05,2.6332781,0.05,0.05,2.6332781
3730,0.05,0.05,2.633281,0.05,0.05,2.633282
3740,0.05,0.05,2.6332865,0.05,0.05,2.6332867
3750,0.05,0.05,2.6332965,0.05,0.05,2.6332967
3760,0.05,0.05,2.6332986,0.05,0.05,2.6332986
3770,0.05,0.05,2.6332996,0.05,0.05,2.6332996
3780,0.05,0.05,2.6332998,0.05,0.05,2.6332998
3790,0.05,0.05,2.6332994,0.05,0.05,2.6332994
3800,0.05,0.05,2.6332989,0.05,0.05,2.6332994
3810,0.05,0.05,2.6332972,0.05,0.05,2.6332967
3820,0.05,0.05,2.6332953,0.05,0.05,2.6332946
3830,0.05,0.05,2.6332903,0.05,0.05,2.6332903
3840,0.05,0.05,2.6332889,0.05,0.05,2.6332886
3850,0.05,0.05,2.6332886,0.05,0.05,2.6332886
3860,0.05,0.05,2.6332886,0.05,0.05,2.6332886
3870,0.05,0.05,2.6332886,0.05,0.05,2.6332886
3880,0.05,0.05,2.6332858,0.05,0.05,2.6332858
3890,0.05,0.05,2.6332843,0.05,0.05,2.6332843
3900,0.05,0.05,2.6332853,0.05,0.05,2.6332855
3910,0.05,0.05,2.6332862,0.05,0.05,2.6332862
3920,0.05,0.05,2.6332862,0.05,0.05,2.6332862
3930,0.05,0.05,2.6332867,0.05,0.05,2.6332867
3940,0.05,0.05,2.6332853,0.05,0.05,2.6332848
3950,0.05,0.05,2.6332808,0.05,0.05,2.6332808
3960,0.05,0.05,2.6332793,0.05,0.05,2.6332793
3970,0.05,0.05,2.6332777,0.05,0.05,2.633277
3980,0.05,0.05,2.6332746,0.05,0.05,2.6332743
3990,0.05,0.05,2.6332688,0.05,0.05,2.633268
4000,0.05,0.05,2.6332655,0.05,0.05,2.6332655
4010,0.05,0.05,2.633264,0.05,0.05,2.6332638
4020,0.05,0.05,2.6332638,0.05,0.05,2.6332638
4030,0.05,0.05,2.6332629,0.05,0.05,2.6332633
4040,0.05,0.05,2.6332607,0.05,0.05,2.6332605
4050,0.05,0.05,2.633258,0.05,0.05,2.6332579
4060,0.05,0.05,2.6332572,0.05,0.05,2.633257
4070,0.05,0.05,2.633255,0.05,0.05,2.633255
4080,0.05,0.05,2.6332538,0.05,0.05,2.6332538
4090,0.05,0.05,2.6332538,0.05,0.05,2.6332538
4100,0.05,0.05,2.6332538,0.05,0.05,2.6332538
4110,0.05,0.05,2.633254,0.05,0.05,2.633254
4120,0.05,0.05,2.6332548,0.05,0.05,2.633255
4130,0.05,0.05,2.633255,0.05,0.05,2.633255
4140,0.05,0.05,2.633255,0.05,0.05,2.633255
4150,0.05,0.05,2.633255,0.05,0.05,2.633255
4160,0.05,0.05,2.6332488,0.05,0.05,2.6332486
4170,0.05,0.05,2.6332455,0.05,0.05,2.6332452
4180,0.05,0.05,2.6332443,0.05,0.05,2.633244
4190,0.05,0.05,2.633244,0.05,0.05,2.633244
4200,0.05,0.05,2.633244,0.05,0.05,2.633244
4210,0.05,0.05,2.633244,0.05,0.05,2.633244
4220,0.05,0.05,2.6332438,0.05,0.05,2.6332438
4230,0.05,0.05,2.6332438,0.05,0.05,2.6332438
4240,0.05,0.05,2.6332438,0.05,0.05,2.6332438
4250,0.05,0.05,2.6332438,0.05,0.05,2.6332438
4260,0.05,0.05,2.6332433,0.05,0.05,2.6332433
4270,0.05,0.05,2.6332433,0.05,0.05,2.6332433
4280,0.05,0.05,2.6332433,0.05,0.05,2.6332438
4290,0.05,0.05,2.6332438,0.05,0.05,2.6332438
4300,0.05,0.05,2.6332433,0.05,0.05,2.6332433
4310,0.05,0.05,2.6332433,0.05,0.05,2.6332433
4320,0.05,0.05,2.6332433,0.05,0.05,2.6332433
4330,0.05,0.05,2.6332433,0.05,0.05,2.6332433
4340,0.05,0.05,2.633243,0.05,0.05,2.633243
4350,0.05,0.05,2.633243,0.05,0.05,2.633243
4360,0.05,0.05,2.6332428,0.05,0.05,2.6332428
4370,0.05,0.05,2.633243,0.05,0.05,2.6332428
4380,0.05,0.05,2.6332428,0.05,0.05,2.6332428
4390,0.05,0.05,2.6332428,0.05,0.05,2.6332428
4400,0.05,0.05,2.633243,0.05,0.05,2.633243
4410,0.05,0.05,2.633243,0.05,0.05,2.633243
4420,0.05,0.05,2.6332428,0.05,0.05,2.6332428
4430,0.05,0.05,2.6332428,0.05,0.05,2.6332428
4440,0.05,0.05,2.6332428,0.05,0.05,2.6332428
4450,0.05,0.05,2.6332428,0.05,0.05,2.6332428
